word,valence,arousal,dominance
livid,3.42,5.38,4.55
sloppy,3.42,3.64,3.62
punishable,3.42,4.71,4.22
filthy,3.42,4.65,4.46
intolerant,3.43,4.05,4.74
sorrowful,3.43,3.64,4.11
monstrous,3.43,5.9,3.86
inferior,3.43,4.55,3.35
unstable,3.43,5.05,3.75
harsh,3.44,5.63,4.04
abysmal,3.45,3.91,3.76
volatile,3.45,5.35,4.64
cocky,3.45,5.8,5.27
untrue,3.45,4.14,5.12
cynic,3.45,4.68,4.81
serial,3.45,4.33,5.86
anemic,3.45,3.45,3.14
accidental,3.46,4.0,3.41
rigid,3.47,4.81,4.83
soggy,3.47,3.65,4.2
radioactive,3.47,5.64,3.27
dubious,3.47,4.33,5.17
lunatic,3.47,5.64,3.29
suspicious,3.48,5.0,3.95
unqualified,3.48,4.67,4.0
vegetative,3.48,3.37,3.64
grotesque,3.48,4.95,4.15
brute,3.48,4.85,5.55
faulty,3.48,4.68,4.42
unprotected,3.48,5.35,3.12
hesitant,3.48,2.83,5.28
rusty,3.5,4.24,4.51
illogical,3.5,4.78,3.36
slutty,3.5,6.55,5.19
unannounced,3.5,5.05,4.27
unwelcome,3.5,4.39,3.24
irrational,3.5,5.12,3.46
impossible,3.5,4.52,3.5
septic,3.5,3.76,3.05
inexperienced,3.5,3.67,3.64
embarrassed,3.51,5.38,3.67
addictive,3.52,4.82,4.4
infomercial,3.52,4.35,4.67
defective,3.52,4.17,3.67
infirmary,3.52,4.13,4.25
unavailable,3.52,3.85,3.67
envious,3.52,5.1,3.86
alarming,3.52,6.5,4.05
tragic,3.52,5.36,4.2
overwrought,3.52,4.56,4.11
philistine,3.52,3.33,4.86
narcotic,3.52,4.38,3.45
embarrassing,3.53,5.95,3.87
abnormal,3.53,4.48,4.7
obsolete,3.53,3.27,3.61
impatient,3.53,4.61,3.95
unrelenting,3.53,4.86,5.18
icky,3.53,4.36,3.83
careless,3.53,4.27,3.62
regrettable,3.53,5.0,4.43
hungry,3.54,5.6,4.59
unrealistic,3.55,4.39,3.91
heretic,3.55,5.36,5.04
penal,3.55,3.44,3.45
flaccid,3.55,3.14,4.84
incapable,3.55,3.9,2.59
improper,3.55,4.8,4.59
dreary,3.55,3.54,4.28
badness,3.55,4.38,4.08
insensitive,3.55,4.32,4.48
insidious,3.55,4.68,3.58
incomplete,3.55,4.12,3.96
nervous,3.56,5.51,4.02
inadmissible,3.57,4.19,3.21
snippy,3.57,5.8,4.67
devious,3.57,3.83,5.16
childless,3.57,3.29,5.8
vulnerable,3.57,4.5,3.05
misguided,3.58,4.33,3.25
skeptical,3.58,5.45,5.26
untidy,3.58,3.67,4.35
shrunken,3.58,4.43,4.36
flaky,3.58,3.5,3.65
indirect,3.58,3.77,4.41
lewd,3.58,4.41,4.53
disable,3.58,3.6,4.04
solicit,3.59,4.68,4.95
forgetful,3.59,4.45,4.45
prickly,3.59,5.21,4.76
disciplinary,3.6,4.56,4.58
unintelligible,3.6,3.81,3.4
uncertain,3.6,4.45,3.58
devoid,3.61,3.22,3.82
irreversible,3.61,4.09,3.11
stale,3.62,2.68,4.67
tedious,3.62,4.37,4.1
squeamish,3.63,5.45,4.47
bitter,3.63,4.64,4.58
restless,3.63,4.05,4.35
mundane,3.63,2.76,4.0
grimy,3.63,4.4,4.08
hapless,3.63,4.1,4.61
thankless,3.63,4.86,4.68
skeletal,3.63,4.2,5.65
